15:40:17.336 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
15:40:18.240 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
15:40:40.236 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:47:50.001 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
15:47:50.900 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
15:48:12.283 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:51:17.194 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
15:51:19.562 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
15:51:40.592 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
15:53:49.148 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
15:53:50.041 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
15:54:12.982 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Allow multiple team to answer is checked at global setting
16:04:44.799 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_25 - Driver is Initilize
16:04:45.856 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_25 - Navigated to homePage
16:05:08.780 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_25 - At customization page>> >>Allow multiple user to answer is unchecked at global setting
16:16:07.169 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
16:16:08.085 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
16:16:30.459 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
16:20:10.856 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
16:20:11.711 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
16:20:33.351 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
16:23:14.280 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
16:23:15.146 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
16:23:38.013 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
10:12:09.968 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Driver is Initilize
10:12:11.211 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - Navigated to homePage
10:12:32.607 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_23 - At customization page>> >>Show Final Factile Category Hint at Wager Time is checked
10:22:50.323 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Driver is Initilize
10:22:51.205 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - Navigated to homePage
10:23:14.601 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_24 - At customization page>> >>Allow multiple team to answer is checked at global setting
10:35:42.101 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_25 - Driver is Initilize
10:35:43.285 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_25 - Navigated to homePage
10:36:05.866 [main] INFO  Factile_Mode.DGBP_HSB_TestCase_25 - At customization page>> >>Allow multiple user to answer is unchecked at global setting
